t,J_full,J_red,Q_outer_full,Q_outer_red,M_full,M_red,mass_bulk_full,mass_coating_full,mass_red,balance_normalized_full,balance_normalized_red,robin_flux_mismatch_red
0.8160000000000001,1.7426807057319966,1.6830328141845103,1.9523511287745816,1.8914159366220566,2.2038981294076994,2.121448165091829,0.2105663890984249,0.00701999120819833,0.20926254828825216,6.539584296602947e-16,1.9737197133747376e-15,1.7319479184152442e-14
0.8170000000000001,1.7409459764420498,1.6813573559531443,1.9504093437349082,1.889534664658289,2.2056390753841413,2.1231295224477824,0.2103569257311318,0.007012990639473563,0.20905437097954768,3.059587863711183e-16,1.9830293554246698e-15,-1.2878587085651816e-14
0.8180000000000001,1.7392129621874295,1.6796835544215314,1.948469475732175,1.8876552502423178,2.207378288346329,2.124809206002204,0.21014766921758704,0.007005997027179412,0.20884639928372603,2.4501071560765683e-15,1.882077608368601e-15,2.4424906541753444e-15
0.8190000000000001,1.7374816612912047,1.678011407969278,1.9465315228971718,1.8857776915624254,2.20911577000762,2.1264872174101734,0.20993861935598054,0.00699901036444319,0.20863863300013322,4.2064023676451207e-16,3.679592740413725e-15,1.3100631690576847e-14
0.8200000000000001,1.735752072078102,1.6763409149775947,1.9445954833624546,1.8839019868086238,2.210851522079698,2.1281635583251513,0.20972977594469688,0.006992030644398886,0.2084310719283029,9.705767384583472e-16,9.429136185632694e-16,1.4654943925052066e-14
0.8210000000000001,1.7340241928744204,1.6746720738292005,1.9426613552623402,1.88202813417264,2.2125855462725723,2.1298382303989802,0.20952113878230977,0.006985057860187236,0.20822371586795835,5.500648161384815e-16,2.8831742386470013e-15,-1.8207657603852567e-14
0.8220000000000001,1.7322980220080648,1.6730048829083237,1.9407291367329442,1.880156131847903,2.2143178442945803,2.1315112352818884,0.209312707667584,0.00697809200495569,0.20801656461902024,1.6160833499134797e-15,5.1742135073199684e-15,-8.659739592076221e-15
0.8230000000000001,1.730573557808542,1.6713393406007746,1.9387988259121405,1.8782859780296106,2.216048417852389,2.1331825746224893,0.20910448239947962,0.006971133071858329,0.20780961798159012,7.802144558964811e-16,3.81987427929731e-15,7.327471962526033e-15
0.8240000000000001,1.728850798606952,1.6696754452939344,1.936870420939588,1.8764176709146183,2.217777268650996,2.1348522500677833,0.2088964627771475,0.006964181054056,0.2076028757559696,1.870079990215588e-15,4.089929857663673e-15,1.532107773982716e-14
0.8250000000000001,1.7271297427360062,1.6680131953767163,1.934943919956703,1.8745512087015408,2.219504398393732,2.13652026326316,0.20868864859992708,0.006957235944716149,0.20739633774264515,3.87298326268157e-15,2.739205770989897e-16,-1.3322676295501878e-15
