scenario,initialization,h,dt,t,J_red,Q_outer_red,bulk_balance_residual,bulk_balance_normalized,robin_flux_mismatch,M_red,mass_red,energy_red
constant,prepared,0.01,0.001,0.252,0.3971927272257914,0.6917946539239124,1.13464793116691e-13,8.200756718276202e-14,-1.1224354778960333e-13,0.12718600106788708,0.3218804622363308,0.0671135866420717
constant,prepared,0.01,0.001,0.253,0.3966636946919015,0.6912350863190637,1.0397238625614591e-13,7.520768860982413e-14,-1.0341727474383333e-13,0.12758266476257898,0.32158589084470335,0.06698842749856268
constant,prepared,0.01,0.001,0.254,0.39613646488314497,0.6906748109831661,1.0647038806155251e-13,7.707707474519389e-14,-1.0624834345662748e-13,0.12797880122746214,0.32129135249860336,0.06686342441200739
constant,prepared,0.01,0.001,0.255,0.3956110236306809,0.6901138407206077,1.0658141036401503e-13,7.722016577200937e-14,-1.0497158697830855e-13,0.1283744122510928,0.3209968496815148,0.06673857805339044
constant,prepared,0.01,0.001,0.256,0.3950873569026611,0.6895521882103369,8.021361352916756e-14,5.816355520337716e-14,-8.354428260304303e-14,0.12876949960799547,0.3207023848502064,0.06661388908218292
constant,prepared,0.01,0.001,0.257,0.39456545080288885,0.6889898660068797,9.298117831235686e-14,6.7476448420957e-14,-9.453549054683208e-14,0.12916406505879835,0.32040796043500136,0.06648935814647325
constant,prepared,0.01,0.001,0.258,0.39404529156923507,0.6884268865414497,1.0241807402167069e-13,7.438558547313256e-14,-9.786615962070755e-14,0.12955811035036757,0.3201135788400289,0.06636498588308834
constant,prepared,0.01,0.001,0.259,0.3935268655722979,0.6878632621229998,1.1707301794672276e-13,8.5099048308949e-14,-1.1607381722456012e-13,0.12995163721593986,0.31981924244347826,0.06624077291772246
constant,prepared,0.01,0.001,0.26,0.3930101593139398,0.6872990049392375,1.0830225605218402e-13,7.878831140003633e-14,-1.0763612223740893e-13,0.1303446473752538,0.3195249535978537,0.06611671986505649
constant,prepared,0.01,0.001,0.261,0.392495159426,0.6867341270577224,1.1302070390684094e-13,8.228854476117499e-14,-1.1429746038515987e-13,0.1307371425346798,0.319230714630221,0.0659928273288845
constant,prepared,0.01,0.001,0.262,0.3919818526687952,0.6861686404268774,9.336975637097567e-14,6.803703264031592e-14,-9.692247004977617e-14,0.13112912438734858,0.3189365278424617,0.06586909590223024
constant,prepared,0.01,0.001,0.263,0.3914702259298726,0.685602556877013,9.575673587391975e-14,6.98339985122681e-14,-9.531264666406969e-14,0.13152059461327845,0.31864239551151535,0.06574552616746744
