scenario,initialization,h,dt,t,J_red,Q_outer_red,bulk_balance_residual,bulk_balance_normalized,robin_flux_mismatch,M_red,mass_red,energy_red
constant,prepared,0.01,0.001,0.528,0.2908464990951702,0.5354890283775019,7.865930129469234e-14,7.344623057265925e-14,-8.62088178621434e-14,0.22071560045658759,0.24642065172541983,0.039190163219778223
constant,prepared,0.01,0.001,0.529,0.2905466567004025,0.5349629508979081,8.307243781757734e-14,7.764316919343482e-14,-8.787415239908114e-14,0.22100614711328798,0.24617623543122313,0.03911233587027136
constant,prepared,0.01,0.001,0.53,0.29024720199611126,0.5344373112097871,8.282263763703668e-14,7.748583033017244e-14,-7.893685705084863e-14,0.22129639431528408,0.24593204532200716,0.039034658985158094
constant,prepared,0.01,0.001,0.531,0.28994813374768935,0.533912109722919,8.162914788556463e-14,7.644436827619527e-14,-8.47655279301307e-14,0.22158634244903178,0.2456880813460297,0.038957132317179906
constant,prepared,0.01,0.001,0.532,0.2896494507299073,0.5333873468385092,8.382183835919932e-14,7.85750157517057e-14,-8.654188476953095e-14,0.22187599189976168,0.24544434344992314,0.038879755619005564
constant,prepared,0.01,0.001,0.533,0.28935115172687237,0.532863022949273,9.214851104388799e-14,8.646547712567803e-14,-9.375833442959447e-14,0.22216534305148855,0.24520083157870062,0.038802528643240755
constant,prepared,0.01,0.001,0.534,0.28905323553185747,0.5323391384395515,8.407163853973998e-14,7.896435981221763e-14,-7.960299086562372e-14,0.2224543962870204,0.24495754567579134,0.038725451142431117
constant,prepared,0.01,0.001,0.535,0.2887557009472991,0.531815693685377,8.171241461241152e-14,7.682399709395041e-14,-8.498757253505573e-14,0.2227431519879677,0.2447144856830553,0.03864852286907006
constant,prepared,0.01,0.001,0.536,0.2884585467846602,0.5312926890545496,7.249756350802272e-14,6.822751846729647e-14,-7.388534228880417e-14,0.22303161053475237,0.24447165154078557,0.03857174357560392
constant,prepared,0.01,0.001,0.537,0.28816177186436975,0.5307701249067348,9.026113190202523e-14,8.502845927686486e-14,-9.731104810839497e-14,0.22331977230661673,0.24422904318774213,0.03849511301443609
constant,prepared,0.01,0.001,0.538,0.2878653750157298,0.5302480015935195,9.053868765818152e-14,8.537390747922089e-14,-8.387734951043058e-14,0.22360763768163247,0.24398666056116355,0.03841863093793815
constant,prepared,0.01,0.001,0.539,0.28756935507681836,0.5297263194585727,8.346101587619614e-14,7.877748642119021e-14,-9.064970996064403e-14,0.2238952070367093,0.24374450359678212,0.038342297098449545
constant,prepared,0.01,0.001,0.54,0.28727371089443976,0.5292050788376068,8.942846463355636e-14,8.449320330596359e-14,-8.565370634983083e-14,0.22418248074760372,0.24350257222883998,0.03826611124828442
constant,prepared,0.01,0.001,0.541,0.2869784413240246,0.5286842800585706,8.357203817865866e-14,7.903775592627178e-14,-8.198997036856781e-14,0.22446945918892774,0.243260866390107,0.0381900731397407
constant,prepared,0.01,0.001,0.542,0.2866835452295346,0.528163923441648,8.343326030058051e-14,7.898424769047265e-14,-8.26561041833429e-14,0.22475614273415728,0.24301938601189285,0.03811418252510166
constant,prepared,0.01,0.001,0.543,0.2863890214834125,0.5276440092993866,8.493206138382448e-14,8.048235163002389e-14,-8.315570454442422e-14,0.2250425317556407,0.2427781310240771,0.038038439156644385
constant,prepared,0.01,0.001,0.544,0.28609486896649217,0.5271245379367492,9.089951014118469e-14,8.622204393763593e-14,-8.848477506262498e-14,0.2253286266246072,0.24253710135510587,0.037962842786641485
constant,prepared,0.01,0.001,0.545,0.28580108656790765,0.5266055096512042,8.754108549169359e-14,8.311827723723296e-14,-8.321121569565548e-14,0.2256144277111751,0.24229629693202379,0.0378873931673696
constant,prepared,0.01,0.001,0.546,0.2855076731850286,0.5260869247328064,7.724376693829527e-14,7.341350193936185e-14,-8.210099267103033e-14,0.22589993538436012,0.24205571768047585,0.03781209005111365
constant,prepared,0.01,0.001,0.547,0.28521462772337713,0.5255687834642498,8.462675005205256e-14,8.050968085873979e-14,-8.237854842718662e-14,0.2261851500120835,0.24181536352473398,0.03773693319016977
constant,prepared,0.01,0.001,0.548,0.28492194909655993,0.5250510861209763,7.610578833805448e-14,7.247465089569735e-14,-7.882583474838611e-14,0.22647007196118007,0.24157523438770956,0.037661922336855266
constant,prepared,0.01,0.001,0.549,0.28462963622618354,0.5245338329712187,7.879807917277049e-14,7.51124848576624e-14,-8.137934770502397e-14,0.22675470159740627,0.24133533019096629,0.03758705724350828
constant,prepared,0.01,0.001,0.55,0.2843376880417889,0.5240170242760955,7.474576513288866e-14,7.131997785390755e-14,-7.91033905045424e-14,0.22703903928544805,0.2410956508547297,0.037512337662495884
constant,prepared,0.01,0.001,0.551,0.28404610348077336,0.5235006602896666,8.776313009661862e-14,8.382332321037536e-14,-8.609779555968089e-14,0.22732308538892881,0.2408561962979223,0.03743776334621851
constant,prepared,0.01,0.001,0.552,0.283754881488292,0.52298474125903,7.097100684916313e-14,6.785189055258397e-14,-7.016609515630989e-14,0.2276068402704171,0.24061696643815111,0.03736333404711429
constant,prepared,0.01,0.001,0.553,0.2834640210172587,0.5224692674243854,8.487655023259322e-14,8.122635676831472e-14,-8.47655279301307e-14,0.22789030429143436,0.2403779611917425,0.03728904951766394
constant,prepared,0.01,0.001,0.554,0.28317352102817406,0.5219542390190627,7.643885524544203e-14,7.322371343232326e-14,-7.321920847402907e-14,0.22817347781246253,0.2401391804737539,0.037214909510394335
constant,prepared,0.01,0.001,0.555,0.2828833804891465,0.5214396562696697,7.78543896018391e-14,7.465330711399693e-14,-7.971401316808624e-14,0.22845636119295168,0.2399006241979697,0.0371409137778863
constant,prepared,0.01,0.001,0.556,0.2825935983757565,0.5209255193961049,8.940070905794073e-14,8.580949265220577e-14,-8.903988657493755e-14,0.22873895479132744,0.23966229227695354,0.037067062072776075
constant,prepared,0.01,0.001,0.557,0.28230417367100197,0.5204118286116288,7.710498906021712e-14,7.40807422324686e-14,-7.91033905045424e-14,0.22902125896499845,0.23942418462201132,0.03699335414776053
constant,prepared,0.01,0.001,0.558,0.28201510536527785,0.5198985841229624,8.354428260304303e-14,8.034671102631535e-14,-7.877032359715486e-14,0.22930327407036372,0.23918630114325343,0.03691978975560278
constant,prepared,0.01,0.001,0.559,0.28172639245624387,0.5193857861303395,8.981704269217516e-14,8.646467143560595e-14,-8.443246102274315e-14,0.22958500046281996,0.23894864174957803,0.03684636864913524
constant,prepared,0.01,0.001,0.56,0.2814380339487708,0.5188734348275672,8.296141551511482e-14,7.994378777811014e-14,-8.382183835919932e-14,0.22986643849676874,0.2387112063486998,0.036773090581265225
constant,prepared,0.01,0.001,0.561,0.2811500288548997,0.5183615304020921,8.10185252220208e-14,7.814866697299908e-14,-7.83262343873048e-14,0.23014758852562364,0.23847399484715198,0.036699955304977716
constant,prepared,0.01,0.001,0.562,0.2808623761937578,0.5178500730350799,7.777112287499222e-14,7.509038515643702e-14,-7.677192215282957e-14,0.2304284509018174,0.23823700715031126,0.0366269625733417
