t,J_full,J_red,Q_outer_full,Q_outer_red,M_full,M_red,mass_bulk_full,mass_coating_full,mass_red,balance_normalized_full,balance_normalized_red,robin_flux_mismatch_red
0.8465,1.6905619063532418,1.6326954155842321,1.8939553526209683,1.8348391793467107,2.256813688626769,2.172553255236528,0.20426836923192784,0.0068095732098595275,0.20300314798744262,1.2236775068101747e-15,1.499083720507975e-14,4.4853010194856324e-14
0.847,1.689720101382615,1.6318823763795527,1.893013058180722,1.8339262543324002,2.2576585486774605,2.173369196424718,0.20416672275352982,0.0068061766358530704,0.20290212604846716,2.1626619983486747e-15,1.3916182135612417e-14,5.240252676230739e-14
0.8475,1.6888787127728622,1.6310697393699882,1.892071229166119,1.8330137802968918,2.2585029880338467,2.1741847312944027,0.20406512649533257,0.006802781750132111,0.20280115402800433,1.8703502470952584e-15,7.858720921442461e-15,2.6867397195928788e-14
0.848,1.688037740320256,1.6302575043586107,1.8911298653500646,1.8321017570200862,2.2593470069040067,2.174999860046582,0.20396358043281843,0.006799388551862196,0.20270023190167347,7.631892227271971e-16,1.3195285834196196e-14,4.729550084903167e-14
0.8485,1.6871971838211737,1.629445671148724,1.8901889665054894,1.8311901842819076,2.260190605495917,2.1758145828821562,0.20386208454147545,0.006795997040209259,0.20259935964510636,3.5241651844292446e-16,1.0988914474343494e-14,3.552713678800501e-14
0.849,1.686357043072053,1.6286342395436242,1.8892485324055188,1.8302790618624623,2.261033784017453,2.176628900001928,0.20376063879680936,0.006792607214339725,0.20249853723394745,2.5416002707647585e-15,1.0001099012672297e-14,3.352873534367973e-14
0.8495,1.685517317869489,1.6278232093467202,1.8883085628233622,1.8293683895419388,2.261876542676388,2.1774428116066016,0.20365924317433157,0.006789219073420227,0.20239776464384984,1.52865899189137e-15,1.0491588598518085e-14,3.397282455352979e-14
0.85,1.6846780080101127,1.6270125803615496,1.8873690575323032,1.8284581671005797,2.2627188816803927,2.1782563178967824,0.2035578976495711,0.006785832616617997,0.20229704185047864,4.852967106037644e-16,1.1756732366698087e-14,4.218847493575595e-14
0.8505,1.683839113290692,1.6262023523917044,1.8864300163057774,1.8275483943188202,2.263560801237038,2.1790694190729782,0.20345660219806322,0.006782447843100674,0.2021963688295168,6.032445361897421e-16,1.5263263933486428e-14,4.6407322429331543e-14
0.851,1.6830006335080745,1.6253925252409218,1.8854914389172963,1.8266390709771383,2.264402301553792,2.1798821153355985,0.20335535679535818,0.006779064752036169,0.202095745556648,1.361656007263518e-15,1.2414223279390762e-14,4.4853010194856324e-14
